di	dj	step	trap	value
1	2	2015	(-23,-10)	2084
1	3	3722	(-18,42)	7081
1	4	13102	(-22,52)	10847
1	5	14569	(39,-81)	25963
1	6	26966	(-75,-5)	22421
1	7	101249	(165,225)	202891
1	8	158734	(-189,-17)	142679
1	9	132687	(251,-195)	252953
1	10	220438	(-73,217)	188501
1	11	144840	(-176,-254)	257479
1	12	646727	(-210,-389)	604328
1	13	350719	(71,-409)	667827
1	14	66182	(24,-120)	57217
1	15	75258	(-170,66)	115497
1	16	248763	(-241,-154)	231930
1	17	118693	(225,-155)	203331
1	18	307482	(266,172)	283651
1	19	238207	(-115,-327)	426851
1	20	189158	(-196,52)	153521
1	21	139638	(240,-178)	231299
1	22	183820	(51,-189)	142267
1	23	151015	(47,243)	236487
1	24	171075	(91,-194)	149872
1	25	114186	(-4,226)	204527
2	3	4633	(34,29)	4698
2	4	2015	(-46,-20)	8399
2	5	7573	(-6,41)	6760
2	6	3722	(-36,84)	28273
2	7	12216	(8,50)	10059
2	8	13102	(-44,104)	43325
2	9	33863	(-77,44)	23684
2	10	14569	(78,-162)	104413
2	11	52737	(94,-25)	35652
2	12	26966	(-150,-10)	89841
2	13	39905	(-81,40)	26204
2	14	101249	(330,450)	810781
2	15	54047	(-100,-33)	39868
2	16	158734	(-378,-34)	571125
2	17	116019	(-24,143)	81916
2	18	132687	(502,-390)	1009913
2	19	151814	(-102,174)	121177
2	20	220438	(-146,434)	753713
2	21	386285	(-132,283)	320508
2	22	144840	(-352,-508)	1031085
2	23	192417	(85,184)	135694
2	24	646727	(-420,-778)	2419223
2	25	671236	(-377,107)	568247
3	4	1887	(-10,17)	1164
3	5	1322	(-24,-12)	2269
3	6	2015	(-69,-30)	18946
3	7	4682	(-16,40)	6425
3	8	5973	(8,-31)	3744
3	9	3722	(-54,126)	63577
3	10	36231	(81,-58)	26546
3	11	19369	(-87,-11)	30179
3	12	13102	(-66,156)	97435
3	13	31990	(122,-46)	59949
3	14	32824	(-77,-15)	23625
3	15	14569	(117,-243)	235351
3	16	111774	(154,-30)	95357
3	17	52014	(134,-150)	89417
3	18	26966	(-225,-15)	202261
3	19	50448	(-64,-140)	78045
3	20	78736	(109,23)	47829
3	21	101249	(495,675)	1823671
3	22	168884	(45,179)	128389
3	23	98789	(-93,-183)	133501
3	24	158734	(-567,-51)	1285339
3	25	92234	(-16,190)	144575
4	5	4285	(40,21)	6500
4	6	4633	(68,58)	18643
4	7	9385	(-41,-22)	6662
4	8	2015	(-92,-40)	33725
4	9	8899	(-39,-6)	6040
4	10	7573	(-12,82)	26967
4	11	6354	(-7,29)	3387
4	12	3722	(-72,168)	112993
4	13	34163	(-24,-75)	22300
4	14	12216	(16,100)	40117
4	15	37405	(-91,-20)	33014
4	16	13102	(-88,208)	173177
4	17	60562	(-23,-89)	31441
4	18	33863	(-154,88)	94799
4	19	94956	(142,-76)	81159
4	20	14569	(156,-324)	418777
4	21	89588	(49,143)	81989
4	22	52737	(188,-50)	141991
4	23	112233	(-72,-147)	86068
4	24	26966	(-300,-20)	359681
4	25	56692	(-89,-67)	31529
5	6	1795	(17,6)	1202
5	7	1810	(14,-28)	3039
5	8	2757	(-4,19)	1460
